start,end,text
0,3890," Imagine you happen across a short movie script that"
3890,6120," describes a scene between a person and"
6120,7600," their AI assistant."
7600,11490," The script has what the person asks the AI, but the AI's"
11490,13680," response has been torn off."
13680,16760," Suppose you also have this powerful magical machine that"
16760,18360," can take any text and provide"
18360,21500," a sensible prediction of what word comes next."
21500,23820," You could then finish the script by feeding in what you"
23820,25380," have to the machine, seeing what"
25380,28510," it would predict to start the AI's answer, and then"
28510,30680," repeating this over and over with"
30680,33520," a growing script completing the dialogue."
33520,36270," When you interact with a chatbot, this is exactly what's"
36270,37060," happening."
37060,39980," A large language model is a sophisticated mathematical"
39980,41660," function that predicts what word"
41660,44540," comes next for any piece of text."
44540,47610," Instead of predicting one word with certainty, though, what"
47610,49260," it does is assign a probability"
49260,51680," to all possible next words."
51680,54590," To build a chatbot, what you do is lay out some text that"
54590,55020," describes"
55020,55020," an interesting situation."
55380,57910," For instance, you have the interaction between a user and a"
57910,59320," hypothetical AI assistant."
59320,62350," You add on whatever the user types in as the first part of"
62350,64140," that interaction, and then you"
64140,67480," have the model repeatedly predict the next word that such a"
67480,69000," hypothetical AI assistant"
69000,72770," would say in response, and that's what's presented to the"
72770,73180," user."
73180,75790," In doing this, the output tends to look a lot more natural"
75790,76940," if you allow it to select"
76940,80180," less likely words along the way at random."
80180,82760," So what this means is even though the model itself is"
82760,84940," deterministic, a given prompt typically"
84940,88260," gives a different answer each time it's run."
88260,91380," Models learn how to make these predictions by processing an"
91380,92840," enormous amount of text,"
92840,94620," typically pulled from the internet."
94620,97350," For a standard human to read the amount of text that was"
97350,99700," used to train GPT-3, for example,"
99700,104920," if they read non-stop 24/7, it would take over 2600 years."
104920,108280," Larger models since then train on much, much more."
108280,111200," You can think of training a little bit like tuning the dial"
111200,112320,"s on a big machine."
112320,112610," The way that a language model behaves is entirely"
112610,112940," determined by the type of model that you're"
112940,112980," using."
112980,112990," You can think of training a little bit like tuning the dial"
112990,113080,"s on a big machine."
113080,113210," The way that a language model behaves is entirely"
113210,113400," determined by the type of model that you're"
113400,113560," using."
113560,113880," You can think of training a little bit like tuning the dial"
113880,114060,"s on a big machine."
114060,117310," entirely determined by these many different continuous"
117310,119500," values, usually called parameters"
119500,123540," or weights. Changing those parameters will change the"
123540,125500," probabilities that the model gives for the"
125500,129270," next word on a given input. What puts the large in large"
129270,131500," language model is how they can have"
131500,135450," hundreds of billions of these parameters. No human ever"
135450,138300," deliberately sets those parameters."
138300,141210," Instead, they begin at random, meaning the model just"
141210,143500," outputs gibberish, but they're repeatedly"
143500,147270," refined based on many example pieces of text. One of these"
147270,149580," training examples could be just a handful"
149580,152760," of words, or it could be thousands, but in either case the"
152760,155020," way this works is to pass in all but the"
155020,158400," last word from that example into the model and compare the"
158400,160860," prediction that it makes with the true"
160860,164950," last word from the example. An algorithm called backpropag"
164950,167100,"ation is used to tweak all of the"
167100,170420," parameters in such a way that it makes the model a little"
170420,172940," more likely to choose the true last word and"
172940,176710," a little less likely to choose all the others. When you do"
176710,178860," this for many, many trillions of"
178860,181480," examples, not only does the model start to give more"
181480,183660," accurate predictions on the training data,"
183660,186580," but it also starts to make more reasonable predictions on"
186580,188220," text that it's never seen before."
189260,192360," Given the huge number of parameters and the enormous amount"
192360,193740," of training data,"
193740,196540," the scale of computation involved in training a large"
196540,198780," language model is mind-boggling."
199420,202380," To illustrate, imagine that you could perform one billion"
202380,206170," additions and multiplications every single second. How long"
206170,207580," do you think that it would take"
207580,210620," for you to do all of the operations involved in training"
210620,212460," the largest language models?"
213180,217160," Do you think it would take a year? Maybe something like 10,"
217160,217820,"000 years?"
218780,222020," The answer is actually much more than that. It's well over"
222020,226380," 100 million years. This is only part of"
226380,229300," the story though. This whole process is called pre-training"
229300,231820,". The goal of auto-completing a random passage of"
231820,234880," text from the internet is very different from the goal of"
234880,236540," being a good AI assistant."
236540,240040," To address this, chatbots undergo another type of training,"
